Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date
1395488,Snead Produce,Farmers' Market,801,2nd Ave E,,Oneonta,AL,35121,2503,BLOUNT,33.95115,-86.46898,03/14/2020,11/29/2024
1394984,Whited Farm #1,Farmers' Market,415,1st St N,,Oneonta,AL,35121,1732,BLOUNT,33.94616,-86.47937,03/14/2020,
1068862,Jacksonville Farmers Market,Farmers' Market,301,Church St,,Jacksonville,AL,36265,8138,CALHOUN,33.818565,-85.75971,07/25/2012,01/18/2017
1600533,Pickette's Feed And Pet Supply Inc,Farmers' Market,3200,McClellan Blvd,,Anniston,AL,36201,2124,CALHOUN,33.68697,-85.82394,08/07/2024,
1141379,Steven Chapman,Farmers' Market,214,E 54th St,,Anniston,AL,36206,1610,CALHOUN,33.716106,-85.826996,03/27/2014,11/01/2018
1597145,The Downtown Market,Farmers' Market,126,W 11th St,,Anniston,AL,36201,4545,CALHOUN,33.658375,-85.832146,05/16/2024,
1141336,Harrison Fruit farms,Farmers' Market,299,"County Road, US Highway 82",,Maplesville,AL,36750,,CHILTON,32.735676,-86.8447,03/27/2014,11/23/2018
1189468,Randy Jones,Farmers' Market,225,Al Highway 183,,Lawley,AL,36793,4137,CHILTON,32.813244,-86.933304,03/04/2015,12/26/2019
1089946,Grove Hill Farmers' Market,Farmers' Market,101,N Jackson St,,Grove Hill,AL,36451,,CLARKE,31.710062,-87.77658,03/26/2013,01/31/2018
1006579,Holmestead Farm U-Pickum,Farmers' Market,6582,County Road 7,,Talladega,AL,35160,9287,CLAY,33.21436,-86.045815,06/17/2011,09/20/2019
836305,SHANNONS GARDEN SPOT,Farmers' Market,1001,S Three Notch St,,Andalusia,AL,36420,5233,COVINGTON,31.294573,-86.4998,11/20/2007,10/15/2008
1405459,Berlin Farmers Market NAFMNP,Farmers' Market,50,Mt. Carmel Dr,,Cullman,AL,35058,2705,CULLMAN,34.212273,-86.862305,06/01/2020,11/19/2024
1210024,Pitts Farms & Marketplace,Farmers' Market,624,Arkadelphia Rd Ne,,Hanceville,AL,35077,5635,CULLMAN,34.066563,-86.76262,08/18/2015,09/20/2019
1409160,Spradlin Farm,Farmers' Market,2105,County Road 1242,,Vinemont,AL,35179,8340,CULLMAN,34.262253,-86.93703,07/16/2020,11/29/2024
1487754,Tmz Farms,Farmers' Market,668,Valleyview Dr,,Valley Grande,AL,36703,9333,DALLAS,32.483498,-86.992775,02/15/2022,
1065127,North Sand Mountain Farmers Market,Farmers' Market,6139,Al Highway 117,,Mentone,AL,35984,3126,DEKALB,34.579277,-85.59066,07/25/2012,05/30/2017
948473,North Sand Mountain Farmers' Market,Farmers' Market,24474,Al Highway 75,,Sylvania,AL,35988,2051,DEKALB,34.543346,-85.8125,05/21/2010,07/06/2015
999238,Steele Family Farms,Farmers' Market,1183,County Road 852,,Fort Payne,AL,35967,5736,DEKALB,34.30563,-85.808464,06/08/2011,08/08/2016
1064000,Farmers Market Place,Farmers' Market,1540,Sutton Bridge Rd,,Rainbow City,AL,35906,3320,ETOWAH,33.97731,-86.04294,07/19/2012,01/16/2017
1065461,Red Bay Farmers Market,Farmers' Market,656,2nd St SW,,Red Bay,AL,35582,4070,FRANKLIN,34.442566,-88.13641,07/25/2012,05/30/2017
1504507,The Mater Patch,Farmers' Market,1415,Highway 43 N,,Russellville,AL,35653,,FRANKLIN,34.453773,-87.753716,07/29/2022,
1189485,Garnett Farms,Farmers' Market,8693,Al Highway 14,,Eutaw,AL,35462,2906,GREENE,32.87827,-87.93214,03/04/2015,09/20/2019
1141370,United Farmers Market,Farmers' Market,7416,County Road 41,,Forkland,AL,36740,3329,GREENE,32.62663,-87.8265,03/27/2014,03/12/2019
1547550,Benison Farm Market,Farmers' Market,2522,Al Highway 61,,Greensboro,AL,36744,5494,HALE,32.666977,-87.55283,05/08/2023,
1446189,Market At Dothan Llc,Farmers' Market,1300,Montgomery Hwy,,Dothan,AL,36303,6008,HOUSTON,31.238962,-85.40222,05/12/2021,
1247142,Bessemer Farmers Market,Farmers' Market,2,19th St N,,Bessemer,AL,35020,5027,JEFFERSON,33.401054,-86.95091,05/17/2016,11/23/2020
1448554,Bessemer Farmers Market,Farmers' Market,100,14th St S,,Bessemer,AL,35020,6530,JEFFERSON,33.3925,-86.95376,05/26/2021,
1051498,Birmingham Market Alliance,Farmers' Market,3060,Wilson Rd Sw,,Birmingham,AL,35221,1798,JEFFERSON,33.449314,-86.88884,04/19/2012,03/06/2017
1505596,Ccdn Market,Farmers' Market,1920,Old Springville Rd,,Center Point,AL,35215,5858,JEFFERSON,33.634388,-86.66272,08/29/2022,03/05/2024
1007329,East Lake Farmers' Market,Farmers' Market,7753,1st Ave S,,Birmingham,AL,35206,4312,JEFFERSON,33.56108,-86.72592,06/03/2011,
1068823,Enseley Marketplace,Farmers' Market,517,18th Street Ensley,,Birmingham,AL,35218,1516,JEFFERSON,33.51389,-86.896065,09/01/2012,01/18/2017
1137171,Fultondale Freshfarmers Market,Farmers' Market,3321,Lowery Pkwy,,Fultondale,AL,35068,1684,JEFFERSON,33.59981,-86.80291,03/21/2014,04/08/2018
1068873,Homewood Farmers Market,Farmers' Market,2850,19th St S,,Homewood,AL,35209,,JEFFERSON,33.480396,-86.78967,09/10/2012,01/18/2017
1280901,Iron City Development Llc Dba Fresh Vegetables 1,Farmers' Market,2830,9th Ave N,,Bessemer,AL,35020,3543,JEFFERSON,33.41751,-86.952156,05/18/2017,11/19/2021
1061362,Norwood Market,Farmers' Market,1501,27th St N,,Birmingham,AL,35234,2017,JEFFERSON,33.535908,-86.80781,07/24/2012,08/28/2017
1245025,"Pepper Place Farmers Market Association, Inc.",Farmers' Market,2829,2nd Avenue South,,Birmingham,AL,35233,,JEFFERSON,33.516556,-86.79126,07/21/2016,
1060336,Trussville Fresh Market,Farmers' Market,200,N Chalkville Rd,,Trussville,AL,35173,1106,JEFFERSON,33.62612,-86.60909,07/25/2012,12/26/2016
1068866,Trussville Springs Market,Farmers' Market,4411,US Highway 11,,Trussville,AL,35173,,JEFFERSON,33.655556,-86.55442,07/25/2012,12/26/2016
1535310,West Homewood Farmers Market,Farmers' Market,160,Oxmoor Rd,,Birmingham,AL,35209,5941,JEFFERSON,33.46079,-86.830376,03/08/2023,
1006041,Wolf Produce,Farmers' Market,227,4th Ave S,,Birmingham,AL,35205,3231,JEFFERSON,33.497017,-86.827286,06/16/2011,08/08/2016
1187525,Bluewater Creek Farm Stand,Farmers' Market,2530,County Road 69,,Killen,AL,35645,6514,LAUDERDALE,34.893135,-87.44807,02/17/2015,12/20/2017
1068844,Lawrence County Farmers Market,Farmers' Market,,AL  Hwy 157,,Moulton,AL,35650,,LAWRENCE,34.513073,-87.29041,07/25/2012,01/24/2017
1461291,Rising Gardens Community Market,Farmers' Market,231,E Drake Ave,,Auburn,AL,36830,3917,LEE,32.614452,-85.47849,09/08/2021,
1458042,Harvest Tyme NAFMNP,Farmers' Market,500,Airport Rd,,Fort Deposit,AL,36032,4830,LOWNDES,31.974852,-86.592834,09/14/2021,
849439,AL HOOKS PRODUCE,Farmers' Market,6190,County Road 30,,Shorter,AL,36075,3109,MACON,32.413437,-85.85812,04/18/2008,10/15/2008
1114329,Bailey Cove Farmers Market,Farmers' Market,12200,Bailey Cove Rd SE,,Huntsville,AL,35803,2641,MADISON,34.629425,-86.53781,09/04/2013,01/23/2017
1114325,Farmers Market At Latham Umc,Farmers' Market,109,Weatherly Rd SE,,Huntsville,AL,35803,1047,MADISON,34.646725,-86.56524,09/04/2013,05/11/2020
1052358,Greene Street Market at Nativity,Farmers' Market,304,Eustis Ave SE,,Huntsville,AL,35801,3118,MADISON,34.73051,-86.58275,05/10/2012,
1223520,Huntsville Stables,Farmers' Market,609B,Cedarama Drive,,Huntsville,AL,35810,,MADISON,34.817707,-86.57303,11/09/2015,09/20/2019
1243134,Lowe Mill Open Air Market 01,Farmers' Market,2211,Seminole Dr SW,,Huntsville,AL,35805,3848,MADISON,34.71658,-86.59812,05/02/2016,09/20/2019
1115183,Terry Heights Farmers' Market,Farmers' Market,1000,Meadow Dr Nw,,Huntsville,AL,35816,3836,MADISON,34.732067,-86.61014,03/20/2014,09/20/2019
1368717,Tuesday Farmers Market At Meridianville,Farmers' Market,175,Monroe Rd,,Meridianville,AL,35759,2011,MADISON,34.86023,-86.57504,07/16/2019,11/20/2024
1579335,Hamilton's Local Farmers Market,Farmers' Market,579,6th St SW,,Hamilton,AL,35570,5558,MARION,34.138077,-87.995995,02/08/2024,
1540746,City Of Albertville Farmers Market,Farmers' Market,314,Sand Mountain Dr E,,Albertville,AL,35950,2330,MARSHALL,34.268715,-86.20796,03/20/2023,
1066196,Hwy 45 Farm Market,Farmers' Market,1320,Saint Stephens Rd,,Mobile,AL,36603,5036,MOBILE,30.693544,-88.066734,07/25/2012,05/30/2017
1242106,North Mobile County Food Park,Farmers' Market,204,S Wilson Ave,,Mobile,AL,36610,3906,MOBILE,30.734007,-88.082184,05/27/2016,09/20/2019
1242106,North Mobile County Food Park,Farmers' Market,204,S Wilson Ave,,Mobile,AL,36610,3906,MOBILE,30.734007,-88.082184,10/28/2019,11/23/2020
1477852,North Mobile County Food Park And Market,Farmers' Market,204,S Wilson Ave,,Mobile,AL,36610,3906,MOBILE,30.734049,-88.082535,01/03/2022,
1271725,Qnibee Farms Llc,Farmers' Market,5910,Gaynor Rd,,Eight Mile,AL,36613,8629,MOBILE,30.79848,-88.18011,01/26/2017,09/20/2019
1418224,Fairview Farmers Market,Farmers' Market,60,W Fairview Ave,,Montgomery,AL,36105,1655,MONTGOMERY,32.35213,-86.3102,08/25/2020,
1004883,Posey Produce - State Farmer's Market,Farmers' Market,1655,Federal Dr,,Montgomery,AL,36107,1127,MONTGOMERY,32.40487,-86.26654,06/02/2011,08/08/2016
1070308,Project Green Llc,Farmers' Market,2415,E South Blvd,,Montgomery,AL,36116,,MONTGOMERY,32.327267,-86.25927,09/13/2012,01/18/2017
1141335,Berry Patch Of Alabama,Farmers' Market,1073,County Road 3307,,Troy,AL,36079,5605,PIKE,31.730574,-85.93554,03/27/2014,11/23/2018
1305798,Marketplace at Lee Branch - Wholesome Earth Farms,Farmers' Market,611,Doug Baker Blvd,,Birmingham,AL,35242,2006,SHELBY,33.40857,-86.66952,11/27/2017,09/20/2019
1141375,Robert And Sandra Armstrong,Farmers' Market,3181,Chelsea Rd,,Columbiana,AL,35051,3034,SHELBY,33.23109,-86.61775,03/27/2014,11/23/2018
850572,A & P FARMS,Farmers' Market,920,Pleasant Valley Rd,,Gallant,AL,35972,3339,ST CLAIR,33.948982,-86.31178,04/23/2008,03/22/2009
1008509,Community Farm Fresh Markets,Farmers' Market,217,Coosa St E,,Talladega,AL,35160,2164,TALLADEGA,33.43807,-86.10024,06/13/2011,08/08/2016
1521831,First Generation Farmer,Farmers' Market,15192,Shangri la Rd,,Duncanville,AL,35456,1332,TUSCALOOSA,33.06246,-87.34432,11/01/2022,
990863,Homegrown Alabama,Farmers' Market,812,5th Ave,,Tuscaloosa,AL,35401,1206,TUSCALOOSA,33.208267,-87.54219,04/01/2011,08/08/2016
1055886,Tuscaloosa River Market,Farmers' Market,1900,Jack Warner Parkway,,Tuscaloosa,AL,35401,,TUSCALOOSA,33.216637,-87.56242,05/09/2012,
1068824,East Wilcox County Market,Farmers' Market,867,County Road 59,,Pine Apple,AL,36768,3525,WILCOX,31.88641,-86.99452,07/27/2012,09/20/2019
1189447,Kelsaw Farms,Farmers' Market,2563,County Road 13,,Coy,AL,36435,5123,WILCOX,31.86252,-87.43239,03/04/2015,09/20/2019
1486534,Grand Prairie Farmers Market,Farmers' Market,505,S Main St,,Stuttgart,AR,72160,4360,ARKANSAS,34.498276,-91.55256,02/03/2022,
1539578,Mountain Home Farmers Market NAFMNP,Farmers' Market,415,Shiras St,,Mountain Home,AR,72653,3842,BAXTER,36.336212,-92.38177,04/04/2023,
1545196,Bella Vista Farmers & Makers Market,Farmers' Market,One,Mercy Way,,Bella Vista,AR,72714,,BENTON,36.43743,-94.23255,06/05/2023,
964345,Bentonville Farmers Market,Farmers' Market,410,SW A St,,Bentonville,AR,72712,5839,BENTON,36.367203,-94.210335,07/30/2010,
1155300,Cave Springs Farmers & Flea Market,Farmers' Market,23205,Cherokee Rd,,Gentry,AR,72734,9495,BENTON,36.301617,-94.54214,06/05/2014,09/20/2019
1238873,Downtown Rogers Farmers Market,Farmers' Market,101,E Cherry St,,Rogers,AR,72756,4505,BENTON,36.32985,-94.116264,03/31/2016,11/23/2020
1238873,Downtown Rogers Farmers Market,Farmers' Market,101,E Cherry St,,Rogers,AR,72756,4505,BENTON,36.32985,-94.116264,12/15/2020,04/05/2021
942674,Gentry Farmers Market,Farmers' Market,500,E Main St,,Gentry,AR,72734,8251,BENTON,36.267548,-94.48033,03/11/2010,06/08/2015
890794,Rogers Farmer's Market,Farmers' Market,,Arkansas & First,,Rogers,AR,72756,,BENTON,36.358368,-94.11116,04/03/2009,07/09/2015
1490833,Rogers Local Food Market,Farmers' Market,216,S 1st St,,Rogers,AR,72756,4504,BENTON,36.331432,-94.116516,02/19/2022,
998827,Siloam Springs Farmers Market,Farmers' Market,205,E Jefferson St,,Siloam Springs,AR,72761,3697,BENTON,36.18145,-94.54042,03/29/2011,
1186966,Bald Knob Farm,Farmers' Market,4921,Creel Rd,,Harrison,AR,72601,8270,BOONE,36.22323,-93.188835,02/11/2015,09/20/2019
1536767,Farmers And Artisans Market Of Harrison,Farmers' Market,100,N Main Street,,Harrison,AR,72601,,BOONE,36.230335,-93.10801,03/06/2023,
1237761,Harrison Farmer's Market,Farmers' Market,403,N Highway 62 65,,Harrison,AR,72601,2505,BOONE,36.24251,-93.1068,03/24/2016,
1594286,Redeeming The Thyme Farmstand And Gifts NAFMNP,Farmers' Market,22,Main St,,Lead Hill,AR,72644,8831,BOONE,36.419838,-92.91427,04/19/2024,
1191965,The Central Ozarks Farmers And Artisans Market,Farmers' Market,,W. Stephenson St.,,Harrison,AR,72601,,BOONE,36.23015,-93.117805,04/16/2015,09/20/2019
994815,Eureka Springs Farmers Market,Farmers' Market,516,Village Cir,,Eureka Springs,AR,72632,8810,CARROLL,36.39259,-93.73134,03/03/2011,08/25/2016
1542444,Eureka Springs Farmers Market,Farmers' Market,44,Kingshighway,,Eureka Springs,AR,72632,3528,CARROLL,36.399548,-93.74599,04/18/2023,
873509,Mel's Farmers Market,Farmers' Market,102,S Commerce,,Lake Village,AR,71653,,CHICOT,33.33187,-91.287155,11/21/2008,03/29/2015
1155263,Rison Farmers Market AFMNP,Farmers' Market,212,N Main St,,Rison,AR,71665,8856,CLEVELAND,33.95952,-92.19099,06/05/2014,09/26/2017
1389971,Main Street Morrilton Farmers' Market,Farmers' Market,100,E Commerce St,,Morrilton,AR,72110,2921,CONWAY,35.153805,-92.744804,02/04/2020,11/29/2024
854735,Judd Hill Farmers' Market,Farmers' Market,3350,Aggie Road,,Jonesboro,AR,72401,,CRAIGHEAD,35.842148,-90.66622,05/20/2008,12/20/2018
854735,Judd Hill Farmers' Market,Farmers' Market,3350,Aggie Road,,Jonesboro,AR,72401,,CRAIGHEAD,35.842148,-90.66622,06/24/2019,
1317880,Alma Farmers Market,Farmers' Market,533,Fayetteville Ave,,Alma,AR,72921,3600,CRAWFORD,35.47955,-94.22206,03/27/2018,09/20/2019
1155270,Cedar Creek Farm LLC,Farmers' Market,9306,Creekway Bend,,Cedarville,AR,72932,,CRAWFORD,35.57179,-94.34572,06/05/2014,11/23/2018
1362086,Van Buren Main Street Market,Farmers' Market,833,Main St,,Van Buren,AR,72956,4315,CRAWFORD,35.436928,-94.35154,07/01/2019,11/24/2023
1435255,Chesapeake Farm Produce Stand,Farmers' Market,64,Highway 75,,Earle,AR,72331,9411,CROSS,35.14807,-90.55715,02/05/2021,
1186985,Rattle's Garden,Farmers' Market,1780,Highway 64 E,,Vilonia,AR,72173,9690,FAULKNER,35.105347,-92.118835,02/11/2015,09/20/2019
1277073,Vilonia Handmade & Homegrown Market,Farmers' Market,5,S Church St,,Vilonia,AR,72173,9468,FAULKNER,35.083305,-92.207436,05/10/2017,09/20/2019
1155255,Wooster Farmer's & Crafts Market,Farmers' Market,30,Parkway,,Wooster,AR,72181,,FAULKNER,35.166878,-92.4526,06/05/2014,11/23/2018
1275181,Charleston Farmers Market,Farmers' Market,607,E Main St,,Charleston,AR,72933,9328,FRANKLIN,35.297047,-94.03694,04/19/2017,09/20/2019
1155260,Historic Downtown Farmer's Market,Farmers' Market,121,Orange St,,Hot Springs National Park,AR,71901,5415,GARLAND,34.5059,-93.050606,06/26/2014,11/23/2018
1155260,Historic Downtown Farmer's Market,Farmers' Market,121,Orange St,,Hot Springs National Park,AR,71901,5415,GARLAND,34.5059,-93.050606,12/18/2018,09/09/2019
1398559,Hot Springs Farmers & Artisans Market,Farmers' Market,121,Orange St,,Hot Springs National Park,AR,71901,5415,GARLAND,34.505447,-93.05118,03/15/2020,
856257,Paragould Farmers' Market,Farmers' Market,,Corner E Court & 2nd Ave,,Paragould,AR,72450,,GREENE,36.056213,-90.48509,06/07/2008,04/11/2010
1127812,Paragould Farmers' Market,Farmers' Market,300,W Court St,,Paragould,AR,72450,4318,GREENE,36.0562,-90.48873,02/25/2014,09/20/2017
1186964,Howard County Farmers Market,Farmers' Market,110,S Washington St,,Nashville,AR,71852,2553,HOWARD,33.94301,-93.84396,02/11/2015,
981697,Saracen Landing Farmers Market,Farmers' Market,200,Lake Saracen Drive,,Pine Bluff,AR,71601,,JEFFERSON,34.23048,-92.00129,04/12/2011,
1186967,Clarksville/Johnson County CFM,Farmers' Market,101,N Johnson St,,Clarksville,AR,72830,2949,JOHNSON,35.47135,-93.46859,02/11/2015,09/20/2019
1490866,Johnson County Farmers' Market,Farmers' Market,215,W Main St,,Clarksville,AR,72830,3009,JOHNSON,35.47116,-93.46515,03/07/2022,
1202943,Bradley Chamber of Commerce,Farmers' Market,,North Express at Hwy 160 Bradley Ar,,Bradley,AR,71826,,LAFAYETTE,33.09723,-93.65222,05/30/2015,09/20/2019
1327430,Lafayette County Farmers Market,Farmers' Market,1113,Chestnut St,,Lewisville,AR,71845,8513,LAFAYETTE,33.3658,-93.57856,09/24/2018,09/20/2019
1166865,Paris Arkansas Farmers Market,Farmers' Market,201,Saint Louis Valley Rd,,Paris,AR,72855,5853,LOGAN,35.287548,-93.557976,10/28/2014,09/20/2019
1088849,Yellville Farmers Market,Farmers' Market,105,S Berry St,,Yellville,AR,72687,8177,MARION,36.225258,-92.68147,03/21/2013,03/16/2018
1186991,Chang Farm,Farmers' Market,1636,Nevada 290,,Rosston,AR,71858,8832,NEVADA,33.69693,-93.16856,02/11/2015,09/20/2019
1587818,Emmet Farmers Market NAFMNP,Farmers' Market,211,E 4th St,,Emmet,AR,71835,,NEVADA,33.72697,-93.469955,03/21/2024,
1154790,Newton Co. Farmer's Market,Farmers' Market,504,W Court St.,,Jasper,AR,72641,,NEWTON,36.00597,-93.192795,06/05/2014,11/23/2018
1058212,Downtown Helena Farmer's Market,Farmers' Market,617,Walnut,,Helena,AR,72342,,PHILLIPS,34.52827,-90.58739,05/25/2012,12/26/2016
1155257,Helena Farmers Market,Farmers' Market,501,Walnut,,Helena,AR,72342,3229,PHILLIPS,34.52706,-90.58738,06/07/2014,11/23/2018
857021,Pope County Farmer's Market,Farmers' Market,320,W C St,,Russellville,AR,72801,3708,POPE,35.28043,-93.13575,06/16/2008,06/15/2015
1512025,Pope County Farmers Market NAFMNP,Farmers' Market,320,W C St,,Russellville,AR,72801,3708,POPE,35.280434,-93.13557,08/24/2022,
1258741,"Russellville Community Market, Inc.",Farmers' Market,320,W C St,,Russellville,AR,72801,3708,POPE,35.280426,-93.13556,09/09/2016,11/23/2020
1258741,"Russellville Community Market, Inc.",Farmers' Market,320,W C St,,Russellville,AR,72801,3708,POPE,35.280426,-93.13556,02/26/2021,
1188383,Tri Peaks Community Market,Farmers' Market,320,W C St,,Russellville,AR,72801,3708,POPE,35.28051,-93.13598,04/06/2015,09/20/2019
1186476,Argenta Farmer's Market,Farmers' Market,520,Main St,,North Little Rock,AR,72114,5330,PULASKI,34.758305,-92.26764,03/26/2015,09/20/2019
1127896,Arkansas Local Food Network,Farmers' Market,509,Scott St,,Little Rock,AR,72201,3891,PULASKI,34.743416,-92.26995,01/03/2014,11/23/2018
1434363,Arkansas Local Food Network (alfn),Farmers' Market,509,Scott St,,Little Rock,AR,72201,3807,PULASKI,34.743534,-92.269554,01/14/2021,
1114760,Bernice Garden Farmers' Market,Farmers' Market,1401,Main St,,Little Rock,AR,72202,5035,PULASKI,34.735184,-92.27282,08/15/2013,03/16/2018
1503855,Central Farms,Farmers' Market,109,Blenden Dr,,North Little Rock,AR,72117,3803,PULASKI,34.77226,-92.1951,06/27/2022,
854944,Certified Arkansas Farmer's Market,Farmers' Market,410,Main St,,North Little Rock,AR,72114,,PULASKI,34.75719,-92.26767,05/22/2008,06/22/2015
1187014,Farm & Food Innovation Center Farm Stand,Farmers' Market,6800,Camp Robinson Rd,,North Little Rock,AR,72118,2599,PULASKI,34.815365,-92.27129,02/11/2015,04/22/2015
1186968,Little Rock Farmers Market,Farmers' Market,400,President Clinton Ave,Ste 200,Little Rock,AR,72201,1650,PULASKI,34.74756,-92.26617,02/11/2015,
1271123,University District Development Corporation,Farmers' Market,2801,S University Ave,,Little Rock,AR,72204,1099,PULASKI,34.724705,-92.34104,04/17/2017,
1503471,Randolph County Farmers Market,Farmers' Market,1966,Highway 62 W,,Pocahontas,AR,72455,3603,RANDOLPH,36.257328,-90.98338,05/16/2022,
1155343,Saline County,Farmers' Market,200,N. Main St.,,Benton,AR,72015,,SALINE,34.565033,-92.586845,06/05/2014,11/23/2018
1469929,The Front Porch Market,Farmers' Market,1371,Salem Rd,,Benton,AR,72019,8341,SALINE,34.628098,-92.565895,09/23/2021,
1192972,Searcy County Farmers Market,Farmers' Market,,Hwy. 65,Strawberry Shed,Marshall,AR,72650,,SEARCY,35.928272,-92.417,05/22/2015,12/26/2019
1245328,Fort Smith Farmers Market,Farmers' Market,201,Garrison Ave,,Fort Smith,AR,72901,1927,SEBASTIAN,35.389732,-94.42882,07/12/2016,
1497431,Forrest City Farmers Market,Farmers' Market,1335,N Washington St,,Forrest City,AR,72335,2145,ST FRANCIS,35.02296,-90.788,04/04/2022,
1080559,Hughes Farmer's Market,Farmers' Market,206,Reece Cir,,Hughes,AR,72348,9255,ST FRANCIS,34.950714,-90.48268,11/05/2012,02/02/2017
1361238,Farmers Market At Mad,Farmers' Market,105,E Locust St,,El Dorado,AR,71730,5916,UNION,33.210354,-92.66363,05/10/2019,11/24/2023
1155252,The Dirty Farmers Community Market,Farmers' Market,364,Main St,,Clinton,AR,72031,7059,VAN BUREN,35.593178,-92.456924,06/05/2014,11/23/2018
