name,city,state,postcode,lat,lon,source,osm_id,osm_type,website,opening_hours,ebt_active,snap_record_id,snap_name,snap_city,snap_state,snap_zip,snap_lat,snap_lon,snap_auth_date,snap_end_date,match_distance_m,match_name_score
Veggie Park Farmers Market,,GA,,33.4775311,-81.9893703,OSM,11413262187,node,,,False,1188952,Augusta Locally Grown - Veggie Park,Augusta,GA,30904,33.47714,-81.989655,02/27/2015,11/29/2024,50.9,0.5
Atlanta Municipal Market,,GA,,33.7539279,-84.3799682,OSM,39448667,way,,,False,1135401,Sweet Auburn Curb Market,Atlanta,GA,30303,33.75437,-84.38001,03/07/2014,10/28/2014,49.3,0.235
International City Farmer's Market,,GA,,32.618971,-83.6105274,OSM,781661247,way,,Th 13:00-18:00,True,1560884,"International City Farmers Market, LLC",Warner Robins,GA,31093,32.618546,-83.611,09/24/2023,,64.7,0.905
Hanalei Farmer's Market,Hanalei,HI,96714,22.2014337,-159.498842,OSM,3743435260,node,https://halehalawai.org/,Sa 09:30-12:00,True,1436636,Hanalei Farmers Market,Hanalei,HI,96714,22.20122,-159.49892,04/02/2021,,25.1,0.875
Kinoole Farmers Market,,HI,,19.6904784,-155.0699302,OSM,9104127889,node,,Sa 6:30-11:00,False,1051250,Kinoole Farmer's Market,Hilo,HI,96720,19.690077,-155.06955,04/04/2012,11/19/2021,59.8,0.875
Hilo Farmers Market - Crafts,,HI,,19.7231904,-155.0846504,OSM,287389084,way,,,True,433230,Hilo Farmers Market,Hilo,HI,96720,19.723587,-155.08505,04/29/1999,,60.8,0.533
Hilo Farmer's Market - Food,,HI,,19.7234883,-155.0848757,OSM,287389085,way,,,True,433230,Hilo Farmers Market,Hilo,HI,96720,19.723587,-155.08505,04/29/1999,,21.3,0.533
Portneuf Valley Farmers Market,,ID,,42.864711,-112.4530721,OSM,8999636126,node,,,False,947922,Portneuf Valley Farmers Market,Pocatello,ID,83204,42.864574,-112.453384,04/23/2010,12/26/2019,29.6,1.0
Saturday Farmers' Market,,IL,,40.9461135,-90.3653756,OSM,1907946069,node,,May-Oct Sa 08:00-12:00,True,1500834,Galesburg Farmers' Market,Galesburg,IL,61401,40.946316,-90.365295,05/25/2022,,23.5,0.353
Farmer's Market,,IL,,41.888753,-87.7869122,OSM,2699329330,node,,,False,950964,Oak Park Farmers Market,Oak Park,IL,60302,41.888866,-87.78758,05/12/2010,02/07/2023,56.7,0.0
Oswego Country Market,,IL,,41.6849381,-88.3518655,OSM,7782952530,node,https://www.oswegolandparkdistrict.org/programs-events/special-events/oswego-country-market/,Su 09:00-13:00,True,1536810,Oswego Country Market NAFMNP,Oswego,IL,60543,41.684734,-88.351715,03/27/2023,,25.9,0.8
Lincoln Square Farmers Market,Chicago,IL,60625,41.9666517,-87.6874062,OSM,8883997338,node,https://www.lincolnsquare.org/farmers-market,Tu 07:00-13:00; Th 15:00-19:00,True,1498271,Lincoln Square Farmers Market NAFMNP,Chicago,IL,60625,41.966774,-87.687485,05/02/2022,,15.1,0.8
Downtown Bloomington Farmers' Market,Bloomington,IL,61701,40.4803125,-88.9944868,OSM,9132855795,node,,May-Oct: Sa 07:30 - 12:00,True,1428766,Downtown Bloomington Farmers' Market,Bloomington,IL,61701,40.480003,-88.99414,11/09/2020,,45.2,1.0
61st Street Farmers Market,,IL,,41.7842791,-87.5908436,OSM,11504861455,node,,,False,852103,61st Street Farmers Market,Chicago,IL,60637,41.784107,-87.590324,04/25/2008,01/08/2014,47.1,1.0
Green City Market,,IL,,41.8804041,-87.650239,OSM,12829418469,node,https://greencitymarket.org,Sa 08:00-13:00; Dec-Apr off,True,1539548,Green City Market - West Loop,Chicago,IL,60607,41.879753,-87.65045,04/21/2023,,74.5,0.667
Goshen Farmers Market,,IL,,38.8119614,-89.9575697,OSM,285600073,way,https://www.goshenmarket.org/,,True,1080210,The Land Of Goshen Community Market,Edwardsville,IL,62025,38.811886,-89.958,11/06/2012,,38.2,0.6
Market at the Square,,IL,,40.1096523,-88.2056521,OSM,616176657,way,https://urbanamarket.org/,May-Oct: Sa 07:00-12:00,True,1448782,Urbana's Market At The Square,Urbana,IL,61801,40.109924,-88.20501,05/01/2021,,62.4,0.667
Goshen Farmers Market,,IN,,41.5848235,-85.8374356,OSM,5359211890,node,https://www.goshenfarmersmarket.org/,,True,990118,Goshen Farmer's Market,Goshen,IN,46526,41.585022,-85.83695,04/12/2011,,46.0,0.857
Noblesville Farmers Market,Noblesville,IN,46060,40.0474043,-86.0198902,OSM,9029306233,node,,May 01-Oct 15 Sa 08:00-12:00,False,1190516,Noblesville Farmers Market,Noblesville,IN,46060,40.046947,-86.020966,04/03/2015,09/20/2019,104.7,1.0
Fayette County Farmer's Market,Connersville,IN,47331,39.6411073,-85.1401967,OSM,9499675971,node,,May 21-Oct 29 Sa 08:00-11:00,False,1460135,Fayette County Farmer's Market,Connersville,IN,47331,39.64086,-85.14043,09/07/2021,03/18/2024,34.0,1.0
Nashville Farmer's Market,Nashville,IN,47448,39.2024934,-86.2455833,OSM,9509485309,node,https://www.nashvilleindianafarmersmarket.com/,May-Oct Su 11:00-14:00,True,1283370,Nashville Farmer's Market Inc,Nashville,IN,47448,39.202793,-86.24565,05/02/2017,,33.8,0.846
Miller Beach Farmers Market,Gary,IN,46403,41.5980918,-87.2660351,OSM,9559601702,node,https://millerbeacharts.org/places/market/,May 16-Sep 26 Su 11:00-13:00,False,1093589,Miller Beach Farmers Market,Gary,IN,46403,41.598568,-87.266556,04/18/2013,03/16/2018,68.4,1.0
Kokomo Downtown Farmers Market,,IN,,40.4885901,-86.1333374,OSM,9795117501,node,https://kokomofarmersmarket.com/,May-Sep Sa 09:00-13:00,True,1591733,Kokomo Downtown Farmers Market,Kokomo,IN,46901,40.4886,-86.133644,05/29/2024,,26.0,1.0
Farmer's Market,,IN,,38.2096226,-86.1238818,OSM,544222198,way,,,False,1204028,Fred Cammack Corydon Farmers Market,Corydon,IN,47112,38.20975,-86.12421,07/27/2015,12/26/2019,32.0,0.0
Historic West Main Street Farmers Market,,IN,,41.0789706,-85.1678916,OSM,935919134,way,http://facebook.com/mainstreetfarmmarket,Fr 15:00-19:00,False,958779,Historic West Main Street Farmers Market,Fort Wayne,IN,46808,41.07858,-85.167694,07/13/2010,09/20/2019,46.5,1.0
West Lafayette Farmers Market,West Lafayette,IN,47906,40.4630506,-86.9162179,OSM,1207301959,way,http://www.wlfarmersmarket.com,May-Oct: We 15:30-19:00,False,1327046,West Lafayette Farmers Market,West Lafayette,IN,47906,40.46443,-86.91566,07/23/2018,04/03/2023,160.5,1.0
Farmers Market,,IA,,41.2598441,-95.8515721,OSM,9078211973,node,,Th 16:30-19:30,True,1594619,Farmers Market Council Bluffs,Council Bluffs,IA,51503,41.25964,-95.85079,05/07/2024,,69.2,0.0
Iowa City Farmers Market,Iowa City,IA,52240,41.6597822,-91.5293889,OSM,9570201535,node,https://www.icgov.org/farmersmarket,,True,1559515,Iowa City Farmers Market,Iowa City,IA,52240,41.659546,-91.52918,09/08/2023,,31.5,1.0
College Hill Farmers Market,Cedar Falls,IA,50613,42.5179299,-92.4550246,OSM,11225793513,node,https://ceee.uni.edu/collegehillfm,May 14-Oct 31 We 16:00-18:00,True,1459821,College Hill Farmers Market NAFMNP,Cedar Falls,IA,50613,42.517933,-92.455,07/13/2021,,2.0,0.774
Waterloo Urban Farmers Market,Waterloo,IA,50703,42.4952608,-92.3422122,OSM,11232266867,node,https://www.waterloourbanfarmersmarket.com/,May-Oct Sa 08:00-12:00,True,1320350,Waterloo Urban Farmers Market,Waterloo,IA,50703,42.495255,-92.34222,06/28/2018,,0.9,1.0
NewBo City Market,Cedar Rapids,IA,52401,41.9711104,-91.6577264,OSM,287184696,way,https://www.newbocitymarket.org/,Mo-Fr 10:00-20:00; Sa 10:00-18:00; Su 10:00-16:00,True,1490120,Newbo City Market,Cedar Rapids,IA,52401,41.971027,-91.65763,02/16/2022,,12.2,1.0
Freight House Farmers Market,,IA,,41.5200193,-90.579593,OSM,301862364,way,,,True,1398989,Freight House Farmers' Market,Davenport,IA,52801,41.520153,-90.579895,03/23/2020,,29.2,1.0
Mayhew's Market,Osceola,IA,50213,41.0332592,-93.7654902,OSM,498093734,way,https://www.mayhewsmarket.com/,,False,365431,CLARKE COUNTY FARMERS MARKET,OSCEOLA,IA,50213,41.03343,-93.76578,06/15/1994,10/29/2006,30.8,0.19
