osm_id,osm_type,name,lat,lon,street,city,state,postcode,opening_hours,website,phone,facebook,wikidata,source
8641482766,node,New Smyrna Beach Farmers' Market,29.0266583,-80.9232966,Sams Avenue,New Smyrna Beach,,32168,,,,,,
8920065571,node,The Sanford Marketplace at Magnolia,28.8115327,-81.2670001,East 1st Street,Sanford,FL,32771,Sa 09:00-13:00,,+1 407-565-2215,https://www.facebook.com/Sanfordmarketplace/,,
9402957954,node,Saint Petersburg Saturday Morning Market,27.7697675,-82.6333932,,,,,Sa 09:00-14:00,https://saturdaymorningmarket.com/,+17274554921,,,
9603406643,node,Babcock Farmers Market,26.7839579,-81.7466978,,,,,Su 09:00-13:00,,,,,
9608483811,node,Slater’s Goods & Provisions,26.7832501,-81.7469872,,,,,,,,slatersgoods,,
9814406247,node,Parkesdale Farm Market,28.0200959,-82.1619388,W Baker St,Plant City,FL,33563,We-Su 09:00-18:00,https://parkesdale.com/,813-754-2704,,,
9934299817,node,World Wine Market,25.7921211,-80.2815244,,,,,,,,,,
9934299831,node,World Wine Market,25.7914611,-80.2789352,,,,,,,,,,
10010240943,node,Farmer's Market,30.6711371,-81.4598245,,,,,,,,,,
10813148831,node,Trenton State Farmer's Market,29.6259333,-82.8080401,Northeast Trenton Boulevard,Trenton,FL,32693,,https://www.freshfromflorida.com/Business-Services/State-Farmers-Markets/Trenton-State-Farmers-Market,+1-352-463-3142,,,
11223358891,node,Duda Farm Fresh Foods,26.6511733,-80.2366686,South Shore Boulevard,Wellington,FL,33414,,,,,,
11641166593,node,Aldi,30.4253515,-86.6452529,Mary Esther Cut Off Northwest,,,,Mo-Su 09:00-20:00,https://stores.aldi.us,855-955-2534,,,
11959536025,node,Bailey's Produce & Nursery,30.4599178,-87.2241989,N Davis Hwy,Pensacola,FL,32503,Mo-Sa 08:00-19:00; Su 10:00-16:00,https://baileysproduce.com/,+1 850-332-5959,,,
12286726201,node,Yellow Green Farmers Market,26.028297,-80.168939,Sheridan St,,,33021,,,,,,
12330948902,node,Redland Market Village,25.5388418,-80.4100598,South Dixie Highway,,,33032,Th-Fr 07:00-18:00; Sa-Su 11:00-18:00,https://redlandmarketvillage.com/,+1 305-257-4335,redlandmarketvillage,,
12459457564,node,Montura’s Market,26.6403263,-81.1081423,,,,,,,,,,
12916733852,node,MainGate Flea Market,28.3055315,-81.4537981,,,,,,,,,,
107477474,way,Waldo Farmers Market,29.8185198,-82.1654394,NE US Hwy 301,,,32694,Sa-Su 08:00-16:00,,,,,local knowledge
137927537,way,Lakeside Village Town Center,28.4467035,-81.5606992,7880 Winter Garden-Vineland Road,,,,,http://www.wix.com/boyddevelopment/boyd-development-corp/current-projects#!__current-projects/vstc27=lakeside-village-center,,,,local_knowledge
141005324,way,International Drive Flea Market,28.4633581,-81.4553371,International Drive,Orlando,FL,32819,We-Th 12:00-19:00; Fr-Sa 12:00-22:00; Su 12:00-21:00,,,,,
184728233,way,,26.3331632,-81.7557937,,,,,,,,,,
264391094,way,Downtown Produce,28.1003824,-80.6856102,Ellis Road,Melbourne,,32901,,,,,,
310030789,way,Visitors Flea Market,28.3339409,-81.517101,West Irlo Bronson Memorial Highway,Kissimmee,FL,34746,,https://www.visitorsfleamarket.com/,,,,
315825694,way,Caribbean Marketplace,25.8303502,-80.1918065,Northeast 2nd Avenue,Miami,FL,,,,,,,
365119114,way,Armature Works,27.9611555,-82.4640258,North Ola Avenue,Tampa,FL,33602,,https://armatureworks.com/,,,,
379011483,way,Green Turtle,28.1382966,-80.5855939,,,,,,,,,,
399347548,way,Alachua County Farmer's Market,29.7099863,-82.3534512,,,,,Sa 08:30-13:00,https://441market.com/,,,,
448707629,way,Festival Flea Market,26.2730968,-80.1629183,West Sample Road,Pompano Beach,,33069,9:00-19:00,,,,,
463369841,way,Swap Shop,26.1375934,-80.1917179,West Sunrise Boulevard,,,,,,,,,Bing
463383463,way,,28.0370772,-82.6495688,,,,,,,,,,
476464516,way,Daytona Flea & Farmers Market,29.1645007,-81.0837385,Tamoka,Daytona Beach,FL,32124,,https://daytonafleamarket.com/,+1 386 253 3330,,,
478681053,way,Kissimmee Valley Farmer's Market,28.2904237,-81.4058402,,,,,,,,,,
507060511,way,,26.0564885,-80.2331162,,,,,,,,,,
572702696,way,Duval Honda,30.2985419,-81.7295411,,,,,,,,,,
572702716,way,Nimnicht Chevrolet,30.2910187,-81.7324555,,,,,,,,,,
572702717,way,Duval Ford,30.2895994,-81.7325699,,,,,,,,,,
601192485,way,Petty's Meat Market,28.2110698,-80.671595,,,,,,https://www.pettysmeatmarket.com/,,,,
604060202,way,Peterson Groves,27.656184,-80.4637324,,,,,,,,,,
783389262,way,Pecan Park Flea & Farmers' Market,30.5146206,-81.6368011,Pecan Park Road,,,,,,,,,
817346440,way,,30.2411418,-81.7423401,,,,,,,,,,
833930260,way,Grand Fresh Market,28.2351628,-82.7234881,,,,,,,,,,
888785193,way,Sumter County Farmers Market,28.6159636,-82.0568298,North Market Boulevard,Webster,,33597,,http://www.sumtercountyfarmersmarket.com/,352-569-1220,,,
890221133,way,Schacht Groves,27.6261215,-80.4520216,,,,,Nov-Apr Mo-Sa 08:00-18:00; Nov-Apr Su 12:00-16:00; May-Oct Tu-Sa 11:00-17:00,https://schachtgroves.com/,,,,
932569143,way,,30.5149695,-81.6365285,,,,,,,,,,microsoft/BuildingFootprints
1053786959,way,,28.2095279,-82.7232094,,,,,,,,,,
1065704627,way,Yellow Green Farmers Market,26.028275,-80.1690371,,,,,,,,,,microsoft/BuildingFootprints
1092379831,way,Midpoint Park and Eatery,29.649848,-82.3341162,,,,,,,,,,
1150357112,way,Palm City Farms Produce & Market,27.1609413,-80.3195583,,,,,,,,,,
1226192733,way,,28.7620067,-82.2943904,,,,,,,,,,
1417988922,way,,27.9956301,-82.4257836,,,,,,,,,,
2096589,relation,East End Market,28.5683229,-81.3436593,,,,,,,,,,
7334228,relation,Red Barn Flea Market,27.483584,-82.5618118,1st Street East,Bradenton,FL,,,https://www.redbarnfleamarket.com/,,,,
