ADDRESS,ANC,BENEFITS,BUS,CITY,CREATED_DATE,DAYS,ENDDATE,GLOBALID,LAST_EDITED_DATE,LATITUDE,LONGITUDE,MAR_ID,MAR_MATCHADDRESS,MD_COUNTY,METRO,NAME,OBJECTID,PARKING,SE_ANNO_CAD_DATA,SOCIAL,STARTDATE,STATE,TIMES,WARD,WEBSITE,X_COORDINATE,Y_COORDINATE,ZIPCODE
"6201 5th St NW, Washington, DC 20011",ANC 4B,SNAP; WIC; Senior FMNP; Produce Plus; FreshMatch,62/ 63,Washington,1752272575000,Tuesday,November,{A9AAA90F-7862-452A-AEC0-489C75E0E5BA},1752272575000,38.96585727,-77.0192386,294614,6201 5TH STREET NW,,,FRESHFARM Whittier Elementary Farm Stand,19,,,"https://www.instagram.com/freshfarmdc/, https://twitter.com/freshfarmdc",May,DC,3:00 PM - 6:00 PM,Ward 4,https://www.freshfarm.org/markets,398332.71,144216.17,20011
4131-4101 Block 9th St NW Washington DC 20011,ANC 4C,SNAP; WIC FMNP; Senior FMNP; Produce Plus We double SNAP; WIC FMNP; and Senior FMNP.,60/ 62/ 63/ 64/ 70/ 79/ H8,Washington,1752272575000,Saturday,November,{44757F71-8E19-4A50-88B3-762EEB697CE8},1752272575000,38.941579999999995,-77.025137,810950,4100 - 4199 BLOCK OF 9TH STREET NW,,Green Line: Petworth - Georgia Ave,Petworth Community Market,20,Parking Available,,@petworthmarket,May,DC,9:00 AM - 1:00 PM,Ward 4,https://www.petworthcommunitymarket.org/,397829.33,141495.41,20011
"Intersection, 8th St & Allison St, Washington, DC 20011",ANC 4C,WIC FMNP; Senior FMNP; Produce Plus,,Washington,1752272575000,"1st, 2nd, & 4th Sunday",November,{F5673EC5-7F0E-4CBC-8C8C-EBBF9D83A16A},1752272575000,38.94514985,-77.0235023,902246,8TH STREET NW AND ALLISON STREET NW,,,Petworth Corner Market,21,,,,May,DC,3:00 PM - 8:00 PM,Ward 4,,397962.61001206,141917.58000113,20011
"Intersection, Evarts Street NE & Edgewood Street NE",ANC 5F,SNAP; WIC FMNP; Senior FMNP; Produce Plus  We double SNAP; WIC FMNP; and Senior FMNP.,G8/ D6,Washington,1752272575000,Friday,December,{78156497-8710-4164-9A0D-5D76A6199BC3},1752272575000,38.92448976,-76.99737632,903941,EDGEWOOD STREET NE AND EVARTS STREET NE,,"Red Line: Rhode Island Ave-Brentwood, Brookland-CUA",Arcadia Mobile Market at Edgewood,22,Yes,,facebook.com/arcadiafood  instagram.com/arcadiafood,May,DC,3:00 PM - 6:00 PM,Ward 5,https://www.arcadiafood.org,400227.51001416,139623.870015,20017
100 Block of R Street NW,ANC 5E,SNAP; WIC FMNP; Senior FMNP; Produce Plus We double SNAP.,90/ 92,Washington,1752272575000,Sundays,,{C1B4AA99-25CB-4998-842D-699D0C2BFAD8},1752272575000,38.91275314,-77.01244749,305794,105 R STREET NW,,,Bloomingdale Farmers Market,23,Parking Available (street),,https://www.instagram.com/bloomingdalefarmersmarket.dc,Year round,DC,9:00 AM - 1:00 PM,Ward 5,https://www.bloomingdalemarket-dc.com/,398920.45,138321.04,20001
"670 Rhode Island Ave NE, Washington DC 20002",ANC 5F,SNAP - Individual Farmer,,Washington,1752272575000,1st and 3rd Saturdays,October,{8580BB39-FA1A-4656-8CF0-8B14CC7019FD},1752272575000,38.92210939,-76.99691248,334796,670 RHODE ISLAND AVENUE NE,,Red Line: Rhode Island Ave-Brentwood,Edgewood Market,24,,,@dcsquared,June,DC,10:00 AM - 2:00 PM,Ward 5,https://dcsquared.org/dc%c2%b2-markets/,400267.74,139359.63,20002
"The Arts Walk, 716 Monroe St NE, Washington, DC 20017",ANC 5F,SNAP; WIC; Senior FMNP; Produce Plus; FreshMatch,80/ G8/ H2/ H4,Washington,1752272575000,Saturday,,{87FEDDFA-84F6-4F64-8CF7-AB2F80F900C7},1752272575000,38.93285832,-76.99515916,309744,716 MONROE STREET NE,,Red Line:  Brookland-CUA,FRESHFARM Monroe Street,25,,,"https://www.instagram.com/freshfarmdc/, https://twitter.com/freshfarmdc",Year round,DC,9:00 AM - 1:00 PM,Ward 5,https://www.freshfarm.org/markets,400419.72000000003,140552.86000000002,20017
"2015 Bunker Hill Rd NE, Washington, DC 20018",ANC 5B,WIC FMNP; Senior FMNP; Produce Plus,,Washington,1752272575000,1st & 3rd Saturday,November,{5C67050B-C8C6-4645-8FE1-C73F8E21EED0},1752272575000,38.94015139,-76.97558349,52825,2015 BUNKER HILL ROAD NE,,,Co-Op Farmers Market,27,,,,May,DC,1:00 PM - 5:00 PM,Ward 5,https://appealinc.wildapricot.org/event-2131254,402116.79000000004,141362.69,20018
"Joseph Cole Community Center Parking Lot 1299 Neal St NE, Washington, DC 20002",ANC 5D,WIC FMNP; Senior FMNP; Produce Plus,D4/ D8,Washington,1752272575000,Sunday,December,{6D6462FD-A1A8-4D7E-8FB3-13EFEEC44A1F},1752272575000,38.90411774,-76.98850077,294512,1299 NEAL STREET NE,,,Trinidad Farmers Market,28,Parking Available,,https://www.facebook.com/profile.php?id=61550283881223,April,DC,9:00 AM - 1:00 PM,Ward 5,https://www.trinidadfarmersmarket.net,400997.43,137362.43,20002
"1298 5th St NE, Washington, DC 20002",ANC 5D,SNAP; WIC; Senior FMNP; Produce Plus; FreshMatch,92/ 90,Washington,1752272575000,Sunday,November,{BF222699-4C6E-48CE-A905-85FDEC90D63B},1752272575000,38.90864745,-76.99807698,905149,5TH STREET NE AND NEAL PLACE NE,,Red Line: NoMa-Gallaudet U,FRESHFARM Union Market District,26,,,"https://www.instagram.com/freshfarmdc/, https://twitter.com/freshfarmdc",April,DC,10:00 AM - 2:00 PM,Ward 5,https://www.freshfarm.org/markets,400166.79001411,137865.23999737,20002
"Deanwood Recreation Center, 48th Street NE & Minnesota Avenue NE",ANC 7C,SNAP; WIC FMNP; Senior FMNP; Produce Plus  We double SNAP; WIC FMNP; and Senior FMNP.,R12/ U7/ V14/ W4,Washington,1752272575000,Saturday,December,{3243FEEA-60A3-4658-8DB2-D29F24784192},1752272575000,38.90844496,-76.93215558,307551,1350 49TH STREET NE,,Orange Line: Deanwood,Arcadia Mobile Market at Deanwood,37,Yes,,facebook.com/arcadiafood  instagram.com/arcadiafood,May,DC,10:00 AM - 1:00 PM,Ward 7,https://www.arcadiafood.org,405884.39,137844.91,20019
"1803 Rhode Island Ave NE, Washington, DC 20018",ANC 5C,SNAP - Individual Farmer,,Washington,1752272575000,2nd and 4th Saturdays,October,{B36F0ED4-928F-46D8-927F-98AEE7E00D78},1752272575000,38.92790447,-76.9779369,56031,1803 RHODE ISLAND AVENUE NE,,Red Line: Rhode Island Ave-Brentwood,Woodridge Market,29,,,@dcsquared,June,DC,10:00 AM - 2:00 PM,Ward 5,https://dcsquared.org/dc%c2%b2-markets/,401913.09,140003.16,20018
225 7th St SE,ANC 6B,SNAP; WIC FMNP; Senior FMNP; Produce Plus,,Washington,1752272575000,"Saturday, Sunday",December,{2A8211DC-D2D5-4012-A3FB-9EA722C0B298},1752272575000,38.88641312,-76.99646843,300829,225 7TH STREET SE,,Orange/Silver/Blue Line: Eastern Market,Eastern Market (SAT & SUN),30,Parking Available (street),,"Instagram and Tiktok: @easternmarket_dc, facebook: easternmarketdc",March,DC,9:00 AM - 3:30 PM,Ward 6,https://www.easternmarket-dc.org,400306.4,135397.02,20003
425 M Street SW DC,ANC 6D,SNAP; WIC; Produce Plus,74,Washington,1752272575000,Saturdays,December,{ABB2D624-BC14-4650-A917-E7CB10DFE650},1752272575000,38.87684182,-77.01871456,307293,425 M STREET SW,,Green Line: Waterfront,Farmers Market SW,31,Parking,,@farmersmarketsw,April,DC,9:00 AM - 1:00 PM,Ward 6,https://www.marketswdc.com,398376.10000000003,134334.73,20024
"800 13th St NE, Washington, DC 20002",ANC 6A,SNAP; WIC; Senior FMNP; Produce Plus; FreshMatch,X2/ Streetcar: H/Benning Line,Washington,1752272575000,Saturday,,{7A05E0C0-A904-485B-B186-79441C787FBB},1752272575000,38.90020119,-76.9883083,900744,H STREET NE AND 13TH STREET NE,,,FRESHFARM H Street NE,32,,,"https://www.instagram.com/freshfarmdc/, https://twitter.com/freshfarmdc",Year round,DC,9:00 AM - 12:30 PM,Ward 6,https://www.freshfarm.org/markets,401014.17999889,136927.6999965,20002
"499 I St NW, Washington, DC 20001",ANC 6E,SNAP; WIC; Senior FMNP; Produce Plus; FreshMatch,220/ 240/ 260/ D4/ P6,Washington,1752272575000,Saturday,,{E5956507-3980-482B-8FD9-3CA7C4DA578A},1752272575000,38.90112396,-77.01892694,904978,MASSACHUSETTS AVENUE NW AND 5TH STREET NW,,,FRESHFARM Mount Vernon Triangle,33,,,"https://www.instagram.com/freshfarmdc/, https://twitter.com/freshfarmdc",Year round,DC,9:00 AM - 1:00 PM,Ward 6,https://www.freshfarm.org/markets,398358.23001243,137030.2399966,20001
3rd Street NE between M and N Streets NE,ANC 6C,SNAP/WIC/ Produce Plus,90/ 92,Washington,1752272575000,Thursday,October,{16B95A04-3208-4BD7-84F5-93DCCDC4E70A},1752272575000,38.90723169,-77.00203124,905526,3RD STREET NE AND N STREET NE,,Red Line: NoMa-Gallaudet U,NoMa Farmers Market,34,,,@noma.bid,April,DC,4:00 PM - 8:00 PM,Ward 6,https://www.nomabid.org/farmersmarket,399823.81999779,137708.07999722,20002
1300 E St SE,ANC 6B,WIC; WIC FMNP; Senior FMNP; Produce Plus (All SNAP; WIC; FMNP and Produce Plus customers receive an additional 10% off our retail prices),32/ 36/ V4,Washington,1752272575000,Wednesday,October,{B43F9FF2-54C8-4C8D-8C41-1F2B0E1F1834},1752272575000,38.88284088,-76.98830873,900989,13TH STREET SE AND E STREET SE,,Green Line: Potomac Ave,Watkins Farmstand,36,,,deeprootsfarm,June,DC,3:00 PM - 7:00 PM,Ward 6,,401014.39001489,135000.57001071,20003
"650 Kenilworth Terrace NE, across from The Grove Apts",ANC 7D,SNAP; WIC FMNP; Senior FMNP; Produce Plus  We double SNAP; WIC FMNP; and Senior FMNP.,U7,Washington,1752272575000,Wednesday,December,{1E44723C-BE2D-4902-8A04-F4B3871E8F48},1752272575000,38.89962426,-76.94955358,334656,650 KENILWORTH TERRACE NE,,Orange Line: Minnesota Ave,Arcadia Mobile Market at Parkside,38,Yes,,facebook.com/arcadiafood  instagram.com/arcadiafood,May,DC,3:00 PM - 6:00 PM,Ward 7,https://www.arcadiafood.org,404375.94,136864.8,20019
"700 Parkside Pl NE, Washington, DC 20019",ANC 7D,SNAP; WIC; Senior FMNP; Produce Plus; FreshMatch,U5/ U6/ U7,Washington,1752272575000,Saturday,November,{F719AEA1-E632-49E2-B181-DB148714A1B5},1752272575000,38.90046699,-76.94940151,146096,700 PARKSIDE PLACE NE,,Orange Line: Minnesota Ave,FRESHFARM Cesar Chavez,40,,,"https://www.instagram.com/freshfarmdc/, https://twitter.com/freshfarmdc",June,DC,9:00 AM - 1:00 PM,Ward 7,https://www.freshfarm.org/markets,404389.08,136958.32,20019
"4321 Ord St NE, Washington, DC 20019",ANC 7D,SNAP; WIC; Senior FMNP; Produce Plus; FreshMatch,,Washington,1752272575000,Saturday,November,{04316C2C-6FE1-46A9-9879-F7EF16CC58AA},1752272575000,38.90833743,-76.94095192,314577,4321 ORD STREET NE,,,FRESHFARM Kenilworth Rec Center,41,Parking on site,,"https://www.instagram.com/freshfarmdc/, https://twitter.com/freshfarmdc",June,DC,9:00 AM - 1:00 PM,Ward 7,https://www.freshfarm.org/markets,405121.46,137832.48,20019
"322 40th St NE, Washington, DC 20019",ANC 7F,SNAP; WIC; Senior FMNP; Produce Plus; FreshMatch,U5/ U6/ V2/ V4,Washington,1752272575000,Thursday,November,{6A6876FC-7ED0-41B8-8D3F-30B5CB1406EE},1752272575000,38.89313233,-76.94745494,295141,322 40TH STREET NE,,Orange Line: Minnesota Ave,FRESHFARM Minnesota Ave,42,Yes,,"https://www.instagram.com/freshfarmdc/, https://twitter.com/freshfarmdc",June,DC,1:00 PM - 4:00 PM,Ward 7,https://www.freshfarm.org/markets,404558.4,136144.21,20019
"2615 Benning Rd, NE Washington, DC 20002",ANC 7D,SNAP at single farmer/vendor; WIC FMNP; Senior FMNP; Produce Plus,,Washington,1752272575000,Saturday,December,{CFDDF3A7-D7AD-4FF0-A3CF-3F14C1F3260F},1752272575000,38.896763,-76.96942299999999,,,,Blue/Orange/Silver Line: Stadium-Armory,RFK Open Air Market,43,Parking Available,,,June,DC,8:00 AM - 3:00 PM,Ward 7,https://www.millerfarmsclinton.com,402652.26,136545.63,20019
3500 MLK Jr. Ave SE,ANC 8C,SNAP; WIC FMNP; Senior FMNP; Produce Plus  We double SNAP; WIC FMNP; and Senior FMNP.,A2/A4/A8/W1/W3/W4,Washington,1752272575000,Thursday,October,{B75C5B6E-CAD8-4CE1-B5F3-E069FB5DA7F8},1752272575000,38.83990438,-77.00373303,303598,3500 MARTIN LUTHER KING JR AVENUE SE,,,Arcadia MM at Congress Hts Wellness Center,44,Yes,,facebook.com/arcadiafood  instagram.com/arcadiafood,May,DC,10:00 AM - 1:00 PM,Ward 8,https://www.arcadiafood.org,399675.91000000003,130234.21,20032
"(William O Lockridge) Bellevue Neighborhood Library, 115 Atlantic Street SW",ANC 8D,SNAP; WIC FMNP; Senior FMNP; Produce Plus  We double SNAP; WIC FMNP; and Senior FMNP.,32/ A2/ A4/ A8/ W1,Washington,1752272575000,Thursday,December,{C2BCFD5B-828A-4A5B-A7AD-50202E4D94E9},1752272575000,38.8312511,-77.00941879,302935,115 ATLANTIC STREET SW,,,Arcadia Mobile Market at Bellevue Library,45,Yes,,facebook.com/arcadiafood  instagram.com/arcadiafood,May,DC,3:00 PM - 6:00 PM,Ward 8,https://www.arcadiafood.org,399182.19,129273.71,20032
Wheeler Road SE & Valley Avenue SE (across from The Overlook),ANC 8E,SNAP; WIC FMNP; Senior FMNP; Produce Plus  We double SNAP; WIC FMNP; and Senior FMNP.,A6/ A7/ W1/ W2/ W3,Washington,1752272575000,Friday,December,{5F5540D1-772D-48E5-9FAF-AA557F69E6BD},1752272575000,38.83670735,-76.99319737,901552,WHEELER ROAD SE AND VALLEY AVENUE SE,,Green Line: Congress Heights,Arcadia Mobile Market at Oxon Run,46,Yes,,facebook.com/arcadiafood  instagram.com/arcadiafood,May,DC,3:00 PM - 6:00 PM,Ward 8,https://www.arcadiafood.org,400590.6100145,129879.37000596,20032
"1901 Fort Pl SE, Washington, DC 20020",ANC 8B,SNAP; WIC; Senior FMNP; Produce Plus; FreshMatch,W2/ W3,Washington,1752272575000,Saturday,November,{0A20C26F-D986-4B1E-8165-F971411EF8E1},1752272575000,38.85657273,-76.97684312,286524,1901 FORT PLACE SE,,,FRESHFARM Anacostia Community Museum,47,Yes,,"https://www.instagram.com/freshfarmdc/, https://twitter.com/freshfarmdc",April,DC,10:00 AM - 2:00 PM,Ward 8,https://www.freshfarm.org/markets,402009.94,132084.8,20020
"401 Mississippi Ave SE, Washington, DC 20032",ANC 8C,SNAP; WIC; Senior FMNP; Produce Plus; FreshMatch,A2/ A4/ W1,Washington,1752272575000,Thursday,November,{1E89B180-BA85-449E-B6AE-438CB00B3460},1752272575000,38.83591003,-77.00005229,294481,401 MISSISSIPPI AVENUE SE,,,FRESHFARM Simon Elementary Farm Stand,48,,,"https://www.instagram.com/freshfarmdc/, https://twitter.com/freshfarmdc",May,DC,2:30 PM - 4:30 PM,Ward 8,https://www.freshfarm.org/markets,399995.46,129790.84,20032
"1901 Mississippi Ave SE, Washington, DC, 20020",ANC 8E,SNAP; WIC; Senior FMNP; Produce Plus; FreshMatch,W1/ W2/ W3/ 32,Washington,1752272575000,Saturday,November,{5FCC0224-FFE3-4F6E-BF53-E875DEF26B64},1752272575000,38.84355746,-76.97532187,295845,1901 MISSISSIPPI AVENUE SE,,Green Line: Southern Ave,FRESHFARM THEARC,49,Yes,,"https://www.instagram.com/freshfarmdc/, https://twitter.com/freshfarmdc",June,DC,10:00 AM - 2:00 PM,Ward 8,https://www.freshfarm.org/markets,402142.37,130640.01000000001,20020
"1250 Half St SE, Washington, DC",ANC 8F,WIC; FMNP,A6/ A8/ P6/ V4,Washington,1752272575000,Saturday,December,{76D8B842-09C8-4005-98A9-65E2AEC78ED7},1752272575000,38.87536515,-77.00724735,306225,1250 HALF STREET SE,,Green Line: Navy Yard-Ballpark,Half Street Central Farmers Market,50,,,Twin Springs Fruit Farm facebook,May,DC,9:00 AM - 1:30 PM,Ward 8,https://www.twinspringsfruitfarm.com,399371.12,134170.63,20003
"Martin Luther King Ave. SE & Elm Street SE , The Barns, Red Lot Saint Elizabeths Hospital",ANC 8C,SNAP market level; WIC; WIC FMNP; Senior FMNP; Produce Plus; Fresh Match,A2/A4/ A6/ A8,Washington,1752272575000,Saturday,October,{36AA35EE-37EB-43CA-AFC0-FFD1F8CABB57},1752272575000,38.84952997,-76.99508901,301562,2700 MARTIN LUTHER KING JR AVENUE SE,,,Ward 8 Farmers Market,52,Parking Available,,#Ward8farmers,Junes,DC,10:00 AM - 2:00 PM,Ward 8,https://www.ward8FarmersMarket.org,400426.3,131302.76,20032
"Fernwood & Democracy, Bethesda, MD",,WIC FMNP; Senior FMNP; Produce Plus,,Bethesda,1752272575000,"Thursdays, Saturdays",,{CA9CBA0D-DFAA-4D6F-94C4-863F25C08BF9},1752272575000,39.020683,-77.135398,,,Montgomery,,Bethesda United Church of Christ Farmers Market,53,Parking Available,,@twinspringfruitfarm,Year round,MD,9:00 AM - 1:00 PM,,https://www.Twinspringsfruitfarm.com,388275.12943025,150310.06481187,20817
"Bethesda Elementary School 7600 Arlington Rd, Bethesda, MD 20814",,,,Bethesda,1752272575000,Sunday,,{8167FB28-D014-4F23-B4FD-09B762A6EF44},1752272575000,38.986902,-77.09922,,,Montgomery,,Bethesda Central Farm Market,54,,,,,MD,9:00 AM - 1:30 PM,,,391403.9605305,146556.00410542,20814
"6401 Forest Rd, Cheverly, MD",,SNAP; WIC FMNP; Senior FMNP We double SNAP; WIC FMNP; and Senior FMNP.,Ride on: 18; WMATA: F8/ F13/ F1/ L12,Cheverly,1752272575000,Saturday (every other),December,{C4E15588-7C6D-4EE8-8BCE-10B4B27987F0},1752272575000,39.01246,-77.113411,,,Prince George's,Orange Line: Cheverly,Cheverly Community Market,55,Parking Available,,https://www.instagram.com/cheverlycommunitymarket,May,MD,8:00 AM - 12:00 PM,,https://www.cheverlycommunitymarket.org,390178.00387695,149394.6310808,20785
"Taylor Street at Brookville Rd Chevy Chase, MD",,WIC FMNP; Senior FMNP,,Chevy Chase,1752272575000,Saturdays,,{358B3330-3CCA-4583-A191-9090F11BDD47},1752272575000,38.980978,-77.071879,,,Montgomery,,New Morning Farm - Chevy Chase,56,,,@newmorningfarm,year round,MD,8:00 AM - 1:00 PM,,https://www.newmorningfarm.net/markets,393772.21593764,145896.16245236,20815
"910 Rose Ave, N. Bethesda, MD",,WIC FMNP; Senior FMNP,46,North Bethesda,1752272575000,Saturdays,December,{10D9F084-76D8-41A0-A15B-D78DF3F9EFF0},1752272575000,39.05138,-77.117877,,,Montgomery,Red Line: North Bethesda,Pike Central Farm Market,57,,,@centralfarmmarkets,April,MD,9:00 AM - 1:30 PM,,https://www.centralfarmmarkets.com/pike,389796.79594419,153715.66220244,20852
"25 Crescent Rd, Greenbelt, MD",,WIC FMNP; Senior FMNP,11/ G12/ G14,Greenbelt,1752272575000,Sundays,November,{605EEC9B-6148-499E-8B28-8D41DD687C01},1752272575000,39.001017,-76.87727,,,Prince George's,,Greenbelt Farmers Market,58,Parking Available,,Instagram:  @greenbelt.farmersmarket Twitter: @greenbeltfm,May,MD,10:00 AM - 12:00 PM,,https://www.greenbeltfarmersmarket.org,410631.19145255,148125.38467407,20770
"Parking Lot Behind the Shops on Laurel Avenue, Takoma Park",,SNAP; WIC FMNP; Senior FMNP (We double federal benefits),,Taloma Park,1752272575000,Sundays,,{44FDA8A0-14A8-4B27-A380-E33E16CA41EE},1752272575000,38.974404,-77.01198099999999,,,Montgomery,,Takoma Park Farmers Market,59,,,,year round,MD,10:00 AM - 2:00 PM,,https://www.takomaparkmarket.com,398962.0042433,145164.00118398,20912
"Ann St at University Blvd East, Takoma Park, MD 20912",,SNAP; WIC FMNP; Senior FMNP; Produce Plus We double SNAP; WIC FMNP; and Senior FMNP.,Takoma Langley Crossroads Transit Center- Ride on: 12/ 13/ 14/ 16/ 18/ 24/ 25; WMATA 52/ 54/ 59/ 62/ 63 F1/ K2,Taloma Park,1752272575000,Wednesday,November,{F2089C08-9E59-4F8D-9A02-E89A3F1C7E72},1752272575000,38.99055,-76.99032,,,Montgomery,,Crossroads Farmers Market,60,Parking Available (street),,"Instagram: @crossroadsntwk ; Facebook: Crossroads Community Food Network, Crossroads Farmers Market,",April,MD,10:30 AM - 2:30 PM,,https://www.crossroadscommunityfoodnetwork.org/,400838.81287695,146956.34087814,20912
"810 South Frederick Ave, Gaithersburg, MD",,SNAP; WIC; WIC FMNP; Senior FMNP,G12/G14,Gaithersburg,1752272575000,Thursdays,Nov,{CCEBCE1C-2C0C-418D-9B4A-3E320C8E45B8},1752272575000,39.123279,-77.18195399999999,,,Montgomery,Green Line: Greenbelt,Casey Farmers Market,61,Yes,,,May,MD,11:00 AM - 2:30 PM,,https://www.gaithersburgmd.gov/recreation/ farmers-markets,384266.22255674,161706.42976408,20877
"12200 Fort Washington Rd, Fort Washington, MD 20744",,SNAP; WIC FMNP; Senior FMNP; Produce Plus,,Fort Washington,1752272575000,2nd & 4th Satruday,October,{BE06982F-188F-4260-828F-E33CDC7143AF},1752272575000,38.72403,-77.002288,,,Prince George's,"Bus: 681, 884, 885, 886, A8, NH2, P12, P18",Forward Farmers Market,62,,,,May,MD,9:00 AM - 1:00 PM,,https://www.fwforward.org/farmers-market,399801.23813684,117370.63994571,20744
