name,city,lat,lon,postcode,website,opening_hours,street,state,source
FRESHFARM Mount Vernon Triangle,Washington,,,,https://www.freshfarm.org/markets,,"499 I St NW, Washington, DC 20001",DC,dc_opendata:Farmers_Market_Locations
NoMa Farmers Market,Washington,,,,https://www.nomabid.org/farmersmarket,,3rd Street NE between M and N Streets NE,DC,dc_opendata:Farmers_Market_Locations
Watkins Farmstand,Washington,,,,,,1300 E St SE,DC,dc_opendata:Farmers_Market_Locations
Arcadia Mobile Market at Parkside,Washington,,,,https://www.arcadiafood.org,,"650 Kenilworth Terrace NE, across from The Grove Apts",DC,dc_opendata:Farmers_Market_Locations
FRESHFARM Cesar Chavez,Washington,,,,https://www.freshfarm.org/markets,,"700 Parkside Pl NE, Washington, DC 20019",DC,dc_opendata:Farmers_Market_Locations
FRESHFARM Kenilworth Rec Center,Washington,,,,https://www.freshfarm.org/markets,,"4321 Ord St NE, Washington, DC 20019",DC,dc_opendata:Farmers_Market_Locations
FRESHFARM Minnesota Ave,Washington,,,,https://www.freshfarm.org/markets,,"322 40th St NE, Washington, DC 20019",DC,dc_opendata:Farmers_Market_Locations
RFK Open Air Market,Washington,,,,https://www.millerfarmsclinton.com,,"2615 Benning Rd, NE Washington, DC 20002",DC,dc_opendata:Farmers_Market_Locations
Arcadia MM at Congress Hts Wellness Center,Washington,,,,https://www.arcadiafood.org,,3500 MLK Jr. Ave SE,DC,dc_opendata:Farmers_Market_Locations
Arcadia Mobile Market at Bellevue Library,Washington,,,,https://www.arcadiafood.org,,"(William O Lockridge) Bellevue Neighborhood Library, 115 Atlantic Street SW",DC,dc_opendata:Farmers_Market_Locations
Arcadia Mobile Market at Oxon Run,Washington,,,,https://www.arcadiafood.org,,Wheeler Road SE & Valley Avenue SE (across from The Overlook),DC,dc_opendata:Farmers_Market_Locations
FRESHFARM Anacostia Community Museum,Washington,,,,https://www.freshfarm.org/markets,,"1901 Fort Pl SE, Washington, DC 20020",DC,dc_opendata:Farmers_Market_Locations
FRESHFARM Simon Elementary Farm Stand,Washington,,,,https://www.freshfarm.org/markets,,"401 Mississippi Ave SE, Washington, DC 20032",DC,dc_opendata:Farmers_Market_Locations
FRESHFARM THEARC,Washington,,,,https://www.freshfarm.org/markets,,"1901 Mississippi Ave SE, Washington, DC, 20020",DC,dc_opendata:Farmers_Market_Locations
Half Street Central Farmers Market,Washington,,,,https://www.twinspringsfruitfarm.com,,"1250 Half St SE, Washington, DC",DC,dc_opendata:Farmers_Market_Locations
Ward 8 Farmers Market,Washington,,,,https://www.ward8FarmersMarket.org,,"Martin Luther King Ave. SE & Elm Street SE , The Barns, Red Lot Saint Elizabeths Hospital",DC,dc_opendata:Farmers_Market_Locations
Bethesda United Church of Christ Farmers Market,Bethesda,,,,https://www.Twinspringsfruitfarm.com,,"Fernwood & Democracy, Bethesda, MD",DC,dc_opendata:Farmers_Market_Locations
Bethesda Central Farm Market,Bethesda,,,,,,"Bethesda Elementary School 7600 Arlington Rd, Bethesda, MD 20814",DC,dc_opendata:Farmers_Market_Locations
Cheverly Community Market,Cheverly,,,,https://www.cheverlycommunitymarket.org,,"6401 Forest Rd, Cheverly, MD",DC,dc_opendata:Farmers_Market_Locations
New Morning Farm - Chevy Chase,Chevy Chase,,,,https://www.newmorningfarm.net/markets,,"Taylor Street at Brookville Rd Chevy Chase, MD",DC,dc_opendata:Farmers_Market_Locations
Pike Central Farm Market,North Bethesda,,,,https://www.centralfarmmarkets.com/pike,,"910 Rose Ave, N. Bethesda, MD",DC,dc_opendata:Farmers_Market_Locations
Greenbelt Farmers Market,Greenbelt,,,,https://www.greenbeltfarmersmarket.org,,"25 Crescent Rd, Greenbelt, MD",DC,dc_opendata:Farmers_Market_Locations
Takoma Park Farmers Market,Taloma Park,,,,https://www.takomaparkmarket.com,,"Parking Lot Behind the Shops on Laurel Avenue, Takoma Park",DC,dc_opendata:Farmers_Market_Locations
Crossroads Farmers Market,Taloma Park,,,,https://www.crossroadscommunityfoodnetwork.org/,,"Ann St at University Blvd East, Takoma Park, MD 20912",DC,dc_opendata:Farmers_Market_Locations
Casey Farmers Market,Gaithersburg,,,,https://www.gaithersburgmd.gov/recreation/ farmers-markets,,"810 South Frederick Ave, Gaithersburg, MD",DC,dc_opendata:Farmers_Market_Locations
Forward Farmers Market,Fort Washington,,,,https://www.fwforward.org/farmers-market,,"12200 Fort Washington Rd, Fort Washington, MD 20744",DC,dc_opendata:Farmers_Market_Locations
Garrett Park Farmers Market,Garrett Park,,,,https://garrettparkmd.gov/residents/penn_place/farmers_market.php,,"4600 Waverly Ave, Garrett Park, MD 20896",DC,dc_opendata:Farmers_Market_Locations
Gateway Farmers Market,Brentwod,,,,,,"Fire Station 3716 Rhode Island Ave, Brentwood, MD 20722",DC,dc_opendata:Farmers_Market_Locations
Hollywood Farmers Market,College Park,,,,https://hollywoodmarket.org/,,"Hollywood Shopping Center  9801 Rhode Island Avenue , College Park, MD 20740",DC,dc_opendata:Farmers_Market_Locations
Riverdale Park Farmers Market,Riverdale Park,,,,https://www.facebook.com/RPFMarket,,"6220 Rhode Island Avenue Riverdale Park, MD 20737",DC,dc_opendata:Farmers_Market_Locations
FRESHFARM Downtown Silver Spring,Silver Spring,,,,https://www.freshfarm.org/markets,,"1 Veterans Pl, Silver Spring, MD",DC,dc_opendata:Farmers_Market_Locations
UDC Lamont Riggs Farmers Market,Washington,,,,https://www.thefarmersalliance.org/markets/lamond-riggs,,"5171 S. Dakota Ave. NE Washington, DC 20017 (near the Fort Totten Metro station on the Red, Yellow, and Green lines).",DC,dc_opendata:Farmers_Market_Locations
East Capitol Farmers Market,Washington,,,,https://www.thefarmersalliance.org/eastcapitol,,5929 East Capitol St. SE Washington DC 20019,DC,dc_opendata:Farmers_Market_Locations
Common Good City Farm,Washington,,,,https://www.commongoodcityfarm.org,,300 V St NW/ Washington/ DC 20001,DC,dc_opendata:Farmers_Market_Locations
Adams Morgan Farmers Market,Washington,,,,https://www.lickingcreekbendfarm.com,,(Unity Park) Euclid Street & Columbia Road,DC,dc_opendata:Farmers_Market_Locations
FRESHFARM Columbia Heights (WED/SAT),Washington,,,,https://www.freshfarm.org/markets,,"1400 Park Rd NW, Washington, DC 20010",DC,dc_opendata:Farmers_Market_Locations
Mount Pleasant Farmers' Market,Washington,,,,https://www.facebook.com/MtPFarMar,,Plaza at 3200 Mount Pleasant St NW DC 20010,DC,dc_opendata:Farmers_Market_Locations
Arcadia Mobile Market at Wah Luck,Washington,,,,https://www.arcadiafood.org,,"Wah Luck House, 800 6th Street NW",DC,dc_opendata:Farmers_Market_Locations
FRESHFARM By the White House,Washington,,,,https://www.freshfarm.org/markets,,"810 Vermont Ave NW, Washington, DC 20420",DC,dc_opendata:Farmers_Market_Locations
FRESHFARM CityCenterDC,Washington,,,,https://www.freshfarm.org/markets,,"1098 New York Ave NW, Washington, DC 20001",DC,dc_opendata:Farmers_Market_Locations
FRESHFARM Dupont Circle,Washington,,,,https://www.freshfarm.org/markets,,"1600 20th St NW, Washington, DC 20009",DC,dc_opendata:Farmers_Market_Locations
Dreaming Out Loud's Kelly Miller Market,Washington,,,,https://www.dolgrocery.org,,"301 49th Street NE, Washington, DC 20019",DC,dc_opendata:Farmers_Market_Locations
Chevy Chase Farmers Market,Washington,,,,www.chevychasefarmersmarket.com,,5701 Broad Branch Rd NW,DC,dc_opendata:Farmers_Market_Locations
West Porch Fridays (Union Station),Washington,,,,https://www.unionstationdc.com/events/west-porch-fridays/,,50 Massachusetts Avenue NE ,DC,dc_opendata:Farmers_Market_Locations
